R1,R2,RC,RE,C1,C2,Gain,Cutoff_Frequency,Phase_Margin
49613.72,5964.18,9598.97,1861.08,9.319,4.72,14.3,10.0,78.62
20983.44,15964.19,4554.56,1828.26,2.224,2.264,7.5,10.0,87.29
54565.92,9585.2,3886.57,1050.61,1.498,9.438,11.44,10.0,90.0
13094.97,21265.73,9980.59,554.07,8.44,4.739,25.74,10.0,72.83
91838.84,11879.19,5553.71,249.57,7.197,3.539,25.72,10.0,72.42
33290.2,18434.59,4064.79,355.32,8.232,2.217,20.39,10.0,69.46
69627.01,3292.87,4165.68,1068.39,1.664,2.752,10.19,10.0,90.0
38054.0,10504.58,2352.12,650.27,8.859,9.794,10.91,10.0,89.01
56806.12,24597.79,5366.12,132.03,6.808,3.109,31.91,10.0,70.12
59203.93,20403.05,4669.12,937.58,6.55,9.78,13.69,10.0,90.0
26636.9,4838.58,3072.56,1505.07,5.868,3.369,5.44,10.0,78.04
97262.62,7666.34,2025.13,1788.81,7.672,2.391,5.0,10.0,73.25
79761.95,8915.58,3456.77,1191.3,4.215,1.915,8.16,10.0,75.51
94554.9,16608.77,5332.49,1460.42,1.415,4.177,11.7,10.0,90.0
90534.46,19167.87,1054.17,759.94,5.439,2.444,5.0,10.0,74.74
63811.0,18988.64,1960.57,1017.66,7.506,7.0,5.64,10.0,88.72
92968.68,13236.98,9502.74,1472.77,1.621,2.474,16.25,10.0,90.0
17964.33,20459.69,5657.13,1468.93,2.318,8.37,13.07,10.0,90.0
27638.46,11489.87,1102.77,877.83,6.996,8.357,5.0,10.0,89.96
14070.46,3973.13,7084.33,1110.15,2.77,2.927,15.06,10.0,86.92
39279.73,14546.6,1087.13,1851.52,1.782,7.56,5.0,10.0,90.0
44980.96,23855.23,7519.31,1282.4,8.905,8.59,14.38,10.0,84.63
34421.41,20031.85,7624.65,1303.02,1.693,5.942,15.12,10.0,90.0
84586.38,14888.82,6685.25,1580.01,3.507,3.727,12.76,10.0,88.22
42107.8,16523.34,7455.94,274.68,4.341,4.466,29.35,10.0,76.66
35284.11,23333.49,1335.67,1069.62,4.814,7.884,5.0,10.0,90.0
58842.65,11280.23,7404.42,1920.89,3.677,3.004,11.07,10.0,85.37
22683.18,8953.46,1798.54,755.24,9.134,3.411,7.64,10.0,74.59
82197.73,24453.8,3725.31,625.11,6.62,1.692,15.77,10.0,72.45
16709.56,21722.64,9456.08,1222.36,3.659,4.051,18.14,10.0,85.05
98819.82,8753.05,5277.32,481.18,3.641,0.956,20.76,10.0,69.93
79502.03,12130.73,9690.55,1134.09,5.079,3.278,18.75,10.0,80.33
27884.41,10961.88,1344.76,353.52,0.433,3.797,11.46,17.21,90.0
10496.99,4578.3,5036.79,1180.6,9.274,2.629,13.06,10.0,69.97
83391.53,23987.66,1092.82,1224.64,2.311,1.103,5.0,10.0,77.27
73617.16,10703.5,6487.0,865.88,7.006,5.265,17.36,10.0,82.01
75610.65,22007.9,1247.72,796.36,7.799,8.664,5.0,10.0,90.0
79414.33,5544.55,2165.99,528.64,8.291,3.423,10.32,10.0,74.04
16664.02,14148.9,2958.89,695.3,1.74,2.444,11.72,10.0,90.0
42261.92,1575.07,7613.07,1021.77,5.413,2.922,15.95,10.0,76.78
20428.22,19341.29,2057.64,532.93,0.928,8.633,11.19,10.0,90.0
87679.31,14941.93,8543.0,1576.53,8.067,5.325,14.02,10.0,78.81
66096.83,16014.15,1753.09,1432.62,4.916,1.395,5.0,10.0,69.41
39780.82,2241.3,834.82,575.15,1.669,7.121,5.0,16.49,90.0
15720.25,6064.92,4252.93,240.0,7.215,1.628,24.41,10.0,70.39
37988.41,2783.94,9804.7,50.35,3.379,0.696,44.19,10.0,68.35
39266.5,7933.94,1548.25,1213.6,1.234,2.631,5.0,13.61,90.0
75664.56,16058.54,1466.33,462.16,4.665,1.764,9.65,10.0,74.36
67380.17,14588.46,7636.08,74.54,2.429,6.089,39.71,10.0,68.94
89849.15,15691.6,3465.54,750.22,9.507,4.897,12.21,10.0,77.91
52499.34,14182.03,7314.18,1925.9,3.677,7.268,11.59,10.0,90.0
20763.48,7552.69,2400.1,1395.39,5.767,5.165,5.0,10.0,88.01
74192.03,6868.18,4870.68,1722.64,9.489,4.248,8.36,10.0,75.95
78470.65,4289.43,3020.25,332.24,3.998,5.31,17.58,10.0,87.53
60514.95,21377.7,4789.52,192.91,3.645,4.401,27.81,10.0,77.18
79387.05,15795.5,7806.42,72.48,1.708,0.467,40.3,10.0,67.44
54441.6,5476.26,7739.09,1913.54,9.389,6.839,12.05,10.0,81.83
57045.95,5253.03,5399.84,635.4,8.027,9.625,17.73,10.0,86.94
48478.69,21952.85,9319.53,946.03,2.288,4.278,19.54,10.0,90.0
12287.72,18825.54,3005.95,819.32,3.393,4.295,11.59,10.0,90.0
19710.23,16825.58,2782.96,1474.39,9.158,0.553,5.08,10.0,69.22
12828.63,10764.74,6331.16,654.43,5.419,8.915,20.25,10.0,88.5
67276.94,7287.41,6402.32,1094.13,5.608,9.298,14.96,10.0,90.0
38292.04,24506.82,942.13,1991.39,6.517,8.15,5.0,10.0,89.98
55771.36,20133.75,6273.89,915.92,7.645,1.153,16.59,10.0,68.21
91680.98,8242.7,4057.14,1124.98,9.399,9.012,10.87,10.0,85.05
32436.3,21341.56,7600.7,1029.93,8.042,0.337,16.49,10.0,68.01
46934.46,19214.37,8177.0,1616.21,9.352,4.501,14.64,10.0,75.87
77999.6,8129.93,5745.46,570.34,8.224,5.056,19.9,10.0,75.72
30591.83,11237.27,516.2,382.35,0.56,8.357,5.0,18.51,90.0
16928.19,5462.88,6545.48,1520.48,1.264,7.534,13.01,10.0,90.0
36077.63,3665.26,7614.37,860.46,8.86,7.991,17.77,10.0,81.08
24509.92,18346.29,2865.34,1831.77,0.374,8.692,5.0,10.0,90.0
93672.79,7420.28,4914.14,1306.11,7.962,4.813,9.92,10.0,78.6
82730.83,20681.42,9674.4,1150.47,8.513,7.824,18.82,10.0,83.66
67006.34,24894.61,3332.1,187.39,4.213,0.774,25.54,10.0,69.07
88431.45,2838.88,2619.96,1474.3,3.613,4.501,5.0,10.0,90.0
82330.49,12352.84,2503.12,1387.78,2.025,0.398,5.0,10.0,71.07
26791.31,20249.5,5808.61,1298.14,0.584,9.162,12.48,10.0,90.0
90330.31,19934.82,9522.98,572.42,7.479,9.588,24.31,10.0,83.95
58540.8,19239.93,6282.56,1896.14,0.83,0.931,10.32,10.0,87.62
82669.61,9375.88,3381.57,677.23,9.452,5.373,13.38,10.0,76.88
90648.22,11892.48,6566.41,346.85,3.038,3.319,24.81,10.0,81.28
38620.31,15279.24,6436.0,1975.04,7.963,3.491,10.99,10.0,75.49
19904.67,24374.57,6170.79,1505.18,0.691,4.562,11.91,10.0,90.0
30514.16,8861.13,2014.55,858.83,5.409,1.338,6.88,10.0,71.54
48439.7,23155.45,6528.38,1875.04,3.556,1.89,11.34,10.0,76.52
83621.33,7464.57,4586.56,227.68,0.397,5.816,25.18,10.0,90.0
87465.75,24737.79,676.62,220.94,6.592,0.286,9.86,10.0,69.75
10625.69,17086.33,5627.76,1380.78,9.437,6.038,11.73,10.0,77.95
55967.26,12124.28,9898.03,397.05,0.206,3.257,28.03,10.0,84.95
47566.99,15721.37,3822.53,1838.42,2.777,8.339,6.63,10.0,90.0
29989.7,7540.75,9672.81,1688.7,7.066,6.04,14.47,10.0,83.45
20787.88,7580.17,1413.95,647.42,8.725,7.11,6.43,10.0,84.48
40385.37,3725.31,7458.28,1783.24,1.989,1.233,11.28,10.0,80.35
94861.87,3737.21,1586.13,133.63,0.8,2.732,19.22,22.58,90.0
39088.26,9344.12,3098.93,1119.84,0.186,9.967,9.5,10.0,90.0
56691.16,19308.53,5922.99,1874.35,2.231,4.393,10.03,10.0,90.0
73271.71,15591.31,6131.41,1718.0,0.806,3.653,11.87,10.0,90.0
42726.66,3462.03,7864.51,744.34,3.658,8.751,20.16,10.0,89.9
97460.39,21453.68,6345.46,406.6,4.457,0.427,24.28,10.0,70.78
96620.26,15432.82,6139.34,460.55,4.851,5.394,22.99,10.0,84.09
32660.41,24060.53,9167.35,1053.29,1.509,2.182,19.32,10.0,88.44
54752.37,17084.45,4795.53,1213.71,4.693,3.745,12.68,10.0,83.54
37079.05,5204.2,2640.02,113.99,0.19,2.078,27.28,25.55,86.86
35635.64,12370.8,2036.99,856.43,2.47,0.474,7.78,10.0,71.26
13319.83,16563.94,4299.95,1669.25,3.754,4.223,8.51,10.0,89.43
64860.79,1678.35,7271.15,916.44,1.272,7.913,15.76,10.0,90.0
55241.11,1357.85,904.16,379.89,8.159,9.524,5.95,10.0,89.96
14633.09,4105.67,1726.01,1911.98,2.092,6.276,5.0,10.0,90.0
35078.18,7039.95,1508.08,569.24,7.573,3.949,7.99,10.0,75.71
91743.93,11309.18,6059.88,1606.94,4.792,7.722,10.74,10.0,90.0
31560.57,12698.57,2807.21,427.9,4.849,5.102,15.98,10.0,85.48
23040.54,4312.66,2079.46,875.19,6.487,3.739,8.01,10.0,79.92
54050.75,17161.4,6131.32,1006.32,0.538,1.873,15.48,10.0,90.0
98708.54,15307.31,7732.44,1026.24,0.88,7.982,16.74,10.0,90.0
31784.97,8067.14,3655.47,1057.12,3.336,5.054,10.13,10.0,90.0
70492.2,1327.84,5992.94,488.65,4.227,9.642,19.31,10.0,88.57
78545.77,2863.55,1432.18,1056.04,4.356,8.039,5.0,10.0,90.0
31387.38,10400.67,9384.31,989.34,6.801,4.258,18.74,10.0,77.8
75539.47,4695.38,3700.51,457.0,0.107,7.434,16.46,10.0,90.0
43100.48,10043.67,9976.3,1976.97,9.595,4.589,13.82,10.0,75.48
66907.52,16076.38,9796.58,1737.85,1.827,0.891,15.15,10.0,78.1
67017.67,14133.7,7898.82,1780.77,2.561,5.215,11.63,10.0,90.0
58219.72,6548.22,690.64,1386.86,9.066,8.671,5.0,10.0,87.89
18126.08,9251.74,5663.01,361.8,0.154,8.569,23.78,10.0,90.0
85177.22,15736.75,1324.95,1157.78,9.914,5.792,5.0,10.0,78.77
38870.21,21660.52,9003.81,1651.81,0.456,3.862,15.43,10.0,90.0
26786.67,19077.12,8001.54,125.54,1.293,0.2,36.22,10.0,68.25
13669.76,14281.6,9737.23,1016.89,2.477,3.183,20.64,10.0,84.64
63180.36,9695.03,6279.64,822.44,4.443,9.899,16.47,10.0,90.0
70980.79,9761.23,5460.64,463.64,5.233,7.292,20.97,10.0,85.44
11492.9,22106.02,5430.25,787.59,1.137,7.204,15.84,10.0,90.0
56088.38,1941.85,4171.26,1967.82,0.829,7.635,5.0,10.0,90.0
30384.62,24711.58,4952.56,1460.32,0.415,6.239,10.6,10.0,90.0
68065.55,16945.01,6536.42,634.1,2.642,5.9,19.59,10.0,89.17
25692.98,17347.3,9363.0,1230.44,9.223,4.591,18.66,10.0,74.54
72184.4,1911.95,6160.9,530.98,3.959,4.495,19.1,10.0,80.77
44806.18,15532.7,8642.6,1241.15,7.664,8.721,15.66,10.0,85.47
94305.7,12634.67,8696.41,1797.53,1.983,3.995,13.72,10.0,90.0
22376.88,3538.69,5428.91,1135.91,0.74,8.419,13.7,10.0,90.0
40695.97,7670.13,3800.96,1480.01,5.587,8.394,7.77,10.0,90.0
20212.62,22367.55,6575.95,934.01,8.239,7.732,17.31,10.0,84.33
93222.43,14199.72,4735.83,1072.04,8.995,0.473,12.18,10.0,68.14
88960.54,10922.0,1273.69,1405.4,5.507,1.565,5.0,10.0,74.01
33214.75,2744.37,4089.19,1634.19,3.011,3.216,7.18,10.0,89.81
69398.56,18138.92,9943.69,1335.93,1.184,8.491,17.77,10.0,90.0
83550.0,17868.42,960.86,1956.11,6.711,8.745,5.0,10.0,90.0
59968.07,15737.05,7118.34,1648.65,2.876,0.511,12.34,10.0,69.86
57668.55,13246.3,8491.29,1565.46,8.455,3.315,14.52,10.0,71.28
31766.71,11410.83,6662.9,1697.95,6.091,8.519,10.76,10.0,89.89
18379.25,15238.51,5912.61,598.36,8.603,2.572,19.71,10.0,71.25
90749.42,6601.49,7221.77,892.49,5.71,9.762,15.38,10.0,89.46
91037.63,23590.22,4578.76,1150.7,7.74,4.944,11.45,10.0,80.06
66979.13,15131.07,1367.94,951.65,3.014,9.379,5.0,10.0,90.0
40512.68,8468.62,9642.53,1702.54,5.08,4.345,15.16,10.0,84.64
41428.86,11792.32,4606.86,102.78,0.292,3.306,32.55,10.0,76.05
75336.01,20336.43,6821.2,457.89,6.118,3.688,23.96,10.0,77.18
90739.92,4878.79,5547.45,1769.33,5.384,8.855,6.99,10.0,90.0
89837.78,8028.05,1019.39,165.25,7.577,3.374,14.92,10.0,75.25
80188.8,17308.19,9551.09,492.63,7.317,6.727,25.64,10.0,76.56
67782.85,8571.74,8029.1,734.94,6.313,4.751,20.67,10.0,77.77
17572.6,20020.04,1916.43,1513.94,0.661,9.423,5.0,10.0,90.0
24546.58,4130.88,9825.66,1142.35,9.04,1.678,17.49,10.0,69.51
90869.88,19304.47,7500.56,1911.48,0.278,4.344,11.34,10.0,90.0
64578.62,2640.44,4987.06,494.36,8.052,1.334,19.07,10.0,70.24
10827.73,1302.22,6308.02,1750.63,4.846,5.824,10.3,10.0,89.88
19132.44,22557.36,1514.0,601.68,8.198,4.089,8.2,10.0,76.69
69715.16,14952.14,5823.91,528.72,4.704,0.703,20.21,10.0,67.78
10455.54,9443.85,1199.78,1021.83,6.505,8.513,5.0,10.0,90.0
24472.72,6582.27,5676.12,188.85,3.696,3.818,29.03,10.0,74.56
59386.04,15805.26,5750.61,799.4,7.462,4.987,18.0,10.0,79.66
72270.57,13216.05,8807.17,743.57,2.616,4.134,20.69,10.0,86.48
68676.51,24798.35,7388.05,362.2,7.222,4.938,25.95,10.0,74.7
30184.24,24597.18,2870.75,1728.55,2.014,0.262,5.0,10.0,67.08
74096.13,16240.59,8940.05,802.48,7.249,8.173,21.24,10.0,85.29
31352.42,11628.89,5945.81,1964.74,3.007,3.39,10.09,10.0,88.22
39285.97,12787.38,6260.61,1804.43,2.858,7.272,10.76,10.0,90.0
77184.23,17379.5,2105.32,429.88,8.134,0.742,12.06,10.0,69.51
68466.96,3437.79,8648.85,1034.99,8.156,5.286,15.99,10.0,78.4
86430.11,8880.45,9344.17,1223.52,6.945,9.097,16.54,10.0,88.22
69185.16,2806.53,7862.41,1646.97,9.247,4.043,12.15,10.0,76.96
61147.77,2760.66,9437.15,1777.0,1.646,2.053,12.04,10.0,90.0
18430.73,5700.14,3371.85,1266.84,2.766,1.081,9.24,10.0,73.78
43094.42,12646.08,8680.63,118.51,3.011,8.605,37.39,10.0,72.63
33868.21,19834.58,5144.48,988.49,3.122,2.464,14.83,10.0,80.8
31959.07,12651.9,2057.21,1775.37,3.348,9.753,5.0,10.0,90.0
97570.95,9051.44,6853.61,1442.47,7.0,2.553,12.38,10.0,73.51
45378.8,2976.47,6999.14,1746.78,2.781,4.862,9.24,10.0,90.0
90284.19,14207.09,3225.78,1364.46,2.931,4.634,7.33,10.0,90.0
66802.48,7510.45,761.19,135.87,5.747,0.714,15.01,10.0,69.12
81533.02,15758.42,2398.55,1937.61,2.014,5.365,5.0,10.0,90.0
55237.34,24452.51,4297.89,1840.14,3.712,6.759,7.31,10.0,90.0
61921.35,3671.54,2091.85,296.83,0.674,7.447,15.56,10.0,90.0
54326.59,6091.01,2343.28,269.75,9.53,5.274,18.9,10.0,77.66
27571.87,12354.27,4218.21,1101.2,3.241,8.145,11.3,10.0,90.0
75020.69,24246.73,9636.97,1526.25,8.515,7.546,16.04,10.0,83.48
35269.51,19523.43,7760.31,795.24,5.346,2.02,19.26,10.0,72.99
12188.44,22557.5,3537.61,315.95,2.359,4.076,20.23,10.0,87.24
68092.51,9009.16,9540.24,1045.58,2.015,1.512,19.57,10.0,81.09
25939.96,24808.92,6633.64,708.25,6.98,1.421,18.32,10.0,71.05
94641.27,3467.99,4826.77,735.96,9.652,7.15,14.42,10.0,80.3
95853.57,2271.35,4948.85,1307.72,1.912,5.352,9.37,10.0,90.0
92337.8,21534.46,4402.07,1776.94,1.243,6.049,8.01,10.0,90.0
43314.28,23254.36,2713.42,1139.25,3.932,7.349,7.13,10.0,90.0
11391.1,3174.05,4173.01,1390.82,3.999,2.845,10.0,10.0,82.44
93548.67,3722.26,5515.02,1336.9,8.082,4.073,10.19,10.0,75.59
48536.57,1796.18,5516.26,1124.74,4.742,6.107,12.53,10.0,89.04
96998.93,3508.18,7736.5,655.98,0.718,1.057,19.54,14.91,84.67
96725.8,6026.08,3908.58,786.7,9.215,8.347,11.39,10.0,83.03
86770.85,24281.84,7309.58,665.62,3.795,3.5,20.97,10.0,83.31
36500.4,17028.65,5991.87,1839.12,6.718,6.622,10.4,10.0,85.48
44658.8,19685.27,9637.53,1661.91,6.708,9.956,15.14,10.0,90.0
86602.3,19627.35,4160.21,1179.73,0.658,4.806,10.42,10.0,90.0
38522.98,13841.77,9061.56,1828.87,0.136,2.229,14.24,10.0,90.0
25254.35,20139.74,8296.1,1778.5,0.972,2.243,12.85,10.0,90.0
60112.11,15299.38,6557.81,1859.0,9.57,0.698,10.39,10.0,69.13
94253.93,8549.11,6717.89,482.46,7.961,7.694,22.41,10.0,80.73
72642.68,14466.64,1304.17,1449.13,1.407,3.005,5.0,10.0,90.0
61305.51,13804.21,9527.13,1237.99,6.187,1.81,16.59,10.0,73.69
18745.88,20762.87,1515.89,1480.97,6.159,7.166,5.0,10.0,90.0
65350.65,24561.45,5850.72,563.59,0.106,3.16,20.44,10.0,90.0
99104.85,10865.02,3635.67,1404.88,4.348,6.045,7.67,10.0,89.79
22607.56,19321.38,4583.59,849.17,7.147,4.236,14.55,10.0,79.32
56649.67,3394.31,6296.74,1676.48,1.949,3.408,9.62,10.0,90.0
88963.58,19643.95,9134.09,1600.96,8.524,4.945,15.2,10.0,77.2
76669.18,9914.01,4846.89,462.15,6.637,3.207,20.14,10.0,75.06
72731.42,1945.36,9883.43,408.52,0.169,8.719,24.0,10.0,85.0
73223.57,9717.91,6131.71,1449.58,8.564,0.823,12.19,10.0,68.42
42354.2,15655.43,2025.26,1123.43,0.292,0.399,5.0,38.41,90.0
36423.27,3862.0,2305.09,1136.55,8.89,4.123,5.67,10.0,77.97
82842.5,23176.83,7303.05,1517.4,3.404,1.811,14.07,10.0,79.89
82910.21,2864.14,978.78,1717.19,7.017,7.463,5.0,10.0,90.0
88036.51,23320.16,5063.24,515.98,7.896,3.599,19.75,10.0,74.94
92191.65,17971.3,1908.08,1133.3,2.885,2.688,5.0,10.0,88.37
56020.82,8913.09,4615.58,1666.46,3.629,3.658,8.46,10.0,88.39
55136.47,10378.01,7624.22,1751.95,5.144,2.273,11.93,10.0,74.03
81846.57,18779.42,4858.72,610.45,5.869,3.067,17.27,10.0,77.9
68496.75,15435.31,2052.79,253.1,2.991,5.723,18.02,10.0,90.0
73177.02,17119.43,2893.29,504.01,9.925,8.654,14.73,10.0,84.53
81621.34,10339.95,3991.63,1893.72,7.396,3.772,5.17,10.0,78.95
90100.48,12707.52,1160.83,951.84,2.814,3.275,5.0,10.0,90.0
40419.56,24756.82,6051.21,866.22,6.44,7.84,16.18,10.0,88.94
43802.47,6134.15,6271.57,75.51,4.41,0.322,38.47,10.0,67.87
18458.37,11028.55,1090.44,149.48,8.617,3.091,16.46,10.0,71.93
62045.21,8003.76,4321.96,1353.96,3.357,4.576,10.46,10.0,90.0
13234.8,19362.68,4433.01,1200.16,1.96,6.047,12.39,10.0,90.0
51903.82,19336.3,3671.29,1172.28,0.557,1.645,9.46,11.63,90.0
58838.02,8018.69,5798.53,265.13,9.845,4.385,26.19,10.0,74.24
35788.71,2953.37,3786.6,736.52,3.656,5.706,13.7,10.0,90.0
63174.99,1274.38,4455.89,1634.1,2.283,5.151,7.25,10.0,90.0
12745.02,11258.81,8076.47,391.08,4.969,5.788,26.01,10.0,78.21
13361.34,10848.1,2040.04,1771.24,2.987,6.658,5.0,10.0,90.0
84034.05,24721.36,6381.59,286.88,2.406,3.856,26.62,10.0,81.6
42417.16,12275.25,5303.15,379.84,6.202,0.73,22.36,10.0,70.71
21435.45,7154.04,3398.18,981.61,0.841,0.65,11.14,22.86,81.7
57001.89,22389.51,7411.58,1893.33,5.139,8.601,11.85,10.0,90.0
79299.42,12785.63,5736.29,692.62,3.936,6.806,17.77,10.0,86.36
29423.89,15380.22,5034.93,1333.53,5.372,7.665,11.51,10.0,90.0
66060.14,3296.05,6842.86,1197.91,3.272,9.295,12.94,10.0,90.0
17681.27,10189.99,8121.76,341.76,5.746,7.53,28.71,10.0,78.79
14651.35,23661.37,9740.35,533.93,0.91,6.954,25.06,10.0,90.0
57821.92,15148.13,6478.83,1863.8,3.824,6.592,11.07,10.0,90.0
58657.16,9268.04,8807.18,410.42,2.451,2.66,26.61,10.0,80.13
67368.69,16016.01,510.37,1405.27,4.437,9.577,5.0,10.0,90.0
75348.22,22849.87,5537.24,1931.15,4.044,5.466,9.26,10.0,90.0
97826.69,7575.77,2539.15,283.04,6.349,2.299,17.87,10.0,73.04
56467.03,13122.8,1394.83,828.4,6.325,2.177,5.63,10.0,73.58
39066.08,24008.58,5553.72,486.67,4.192,8.171,21.04,10.0,88.99
81566.76,5137.51,7594.85,482.04,1.898,2.577,20.64,10.0,81.92
34374.9,18271.93,4416.59,282.02,5.861,0.51,24.93,10.0,66.91
49507.43,15747.54,6866.02,1316.62,9.669,4.341,13.99,10.0,76.68
17061.07,17312.2,5152.33,1505.37,1.936,8.192,10.69,10.0,90.0
12281.57,9429.27,4652.32,1369.75,0.784,4.203,10.3,10.0,90.0
96638.36,8533.1,3257.44,1853.08,2.719,8.055,5.0,10.0,90.0
85238.21,17421.03,4134.64,334.07,4.188,8.289,21.13,10.0,88.61
72637.68,6173.04,3823.06,673.7,3.131,8.591,13.18,10.0,90.0
46805.76,11071.71,6638.78,721.92,8.364,5.93,18.77,10.0,79.48
25596.49,5516.19,1602.18,502.56,4.981,7.025,10.17,10.0,90.0
24079.33,1199.32,1380.05,327.3,2.537,2.692,9.67,24.38,87.63
32521.86,24281.38,6770.12,999.07,9.507,1.087,16.82,10.0,70.14
59430.4,11360.87,5689.83,1677.16,1.338,5.375,11.59,10.0,90.0
74313.63,24264.39,4586.9,1911.35,1.317,0.205,7.65,10.0,69.2
69417.76,4367.76,1948.21,302.21,2.528,4.711,13.48,10.0,90.0
35194.05,15096.8,4404.76,1655.16,0.86,1.111,8.63,11.09,90.0
95937.88,5823.38,8002.45,1657.93,7.541,1.173,12.14,10.0,68.85
76410.72,19961.78,8951.4,808.51,3.197,8.721,21.41,10.0,90.0
59891.86,19808.87,7174.48,264.56,7.325,6.441,28.66,10.0,76.13
65054.87,3702.57,1069.17,1980.52,7.651,6.488,5.0,10.0,86.7
47764.01,22889.55,6868.89,1328.41,2.451,4.104,14.63,10.0,90.0
32295.79,5671.11,2789.36,1965.28,5.232,4.191,5.0,10.0,84.91
42037.54,15711.46,3494.89,993.13,5.244,3.101,11.0,10.0,80.5
78206.15,24655.21,2360.8,820.63,8.727,4.4,8.76,10.0,77.82
11295.41,22177.52,7869.68,532.01,0.354,5.913,23.85,10.0,90.0
20446.54,23957.53,6661.72,1967.97,3.236,1.947,10.28,10.0,79.04
14140.24,9222.37,6312.43,543.85,8.837,2.691,22.54,10.0,71.38
13665.59,3533.82,6845.74,96.34,2.444,4.998,36.59,10.0,70.75
86991.45,5520.32,2749.34,1049.31,1.455,3.909,6.76,10.0,90.0
73329.21,13011.88,4724.12,785.25,5.804,8.213,14.75,10.0,88.26
52675.64,20037.51,6515.91,559.7,3.128,8.235,21.0,10.0,89.72
18805.07,4603.69,6547.64,1287.49,4.726,3.426,13.7,10.0,82.98
54245.43,16833.56,8022.59,760.32,8.218,4.563,19.68,10.0,76.34
52612.46,8765.86,3227.49,834.39,5.255,9.768,11.24,10.0,90.0
25588.17,9188.85,7818.19,94.94,5.207,8.292,38.4,10.0,71.35
49046.65,16886.03,4681.75,1198.69,2.854,2.235,11.62,10.0,84.5
45865.43,12207.99,6866.64,288.04,7.949,2.874,28.02,10.0,71.83
65426.51,20488.8,4829.33,466.92,7.424,0.926,19.72,10.0,67.63
67158.43,4742.04,9511.8,1448.38,2.418,6.81,14.69,10.0,90.0
14077.36,19958.76,2203.37,660.82,3.268,3.237,10.13,10.0,85.89
43715.14,2541.65,6912.55,368.26,7.907,5.412,24.03,10.0,75.55
66327.39,5657.29,5977.08,1175.98,3.641,7.705,13.63,10.0,90.0
55282.26,16747.59,2140.94,469.06,4.095,8.377,13.59,10.0,90.0
87084.09,21518.22,1127.06,578.41,3.708,3.321,5.58,10.0,87.35
